LVA-Nr.,LVA-Titel,Typ,Art,LeiterIn,Sem.,ECTS,SSt.,Nächster Termin,max_students,registered_students
257.213,Prozess- und Kommunikationsmodellierung,UE,Präsenz,Udo Kannengiesser,2024S,"3,00","2,0",Mi. 08.05.24 15:30 - 17:00,30,17
257.214,Prozess- und Kommunikationsmodellierung,UE,Präsenz,Richard Heininger,2024S,"3,00","2,0",Mi. 08.05.24 15:30 - 17:00,30,31
257.200,Prozess- und Kommunikationsmodellierung,VL,Präsenz,Udo Kannengiesser,2024S,"3,00","2,0",Mi. 08.05.24 13:45 - 15:15,200,152
361.007,Regelungstechnik,UE,Präsenz,Georg Hartl,2024S,"1,50","1,0",Do. 02.05.24 10:15 - 11:45,35,35
361.008,Regelungstechnik,UE,Präsenz,Johannes Schrotshamer,2024S,"1,50","1,0",Do. 02.05.24 12:00 - 13:30,35,33
361.009,Regelungstechnik,UE,Präsenz,Johannes Schrotshamer,2024S,"1,50","1,0",Do. 02.05.24 13:45 - 15:15,35,32
361.001,Regelungstechnik,VL,Präsenz,Markus Schöberl,2024S,"4,50","3,0",Di. 30.04.24 08:30 - 10:00,140,131
382.059,Signalverarbeitung,VL,Präsenz,Mario Huemer,2024S,"4,50","3,0",Mi. 08.05.24 08:30 - 11:00,70,53
339.170,Softwareentwicklung 1,VO,Präsenz,Hanspeter Mössenböck,2024S,"3,00","2,0",Do. 02.05.24 15:30 - 17:00,100,106
339.191,Softwareentwicklung 2,VO,Präsenz,Herbert Prähofer,2024S,"3,00","2,0",Do. 02.05.24 08:30 - 10:00,300,307
256.600,Soziale Auswirkungen der IT,KS,Präsenz,Hermann Sikora,2024S,"3,00","2,0",Mi. 08.05.24 17:15 - 18:45,150,154
339.341,Special Topics,KV,Präsenz,Hanspeter Mössenböck,2024S,"1,50","1,0",Do. 23.05.24 17:15 - 18:45,125,120
339.350,Special Topics,KV,Präsenz,William Steingartner,2024S,"1,50","1,0",Mo. 13.05.24 14:30 - 17:00,35,12
238.213,Statistik für Sozial- und Wirtschaftswissenschaften,KS,Präsenz,Andreas Quatember,2024S,"3,00","2,0",Mo. 29.04.24 15:30 - 17:00,180,175
150.004,Steuerrecht,RE,Präsenz,Maximilian Reindl,2024S,"2,00","2,0",Letzter Termin vorbei,200,100
269.030,Strategisches Management: Grundlagen,KS,Präsenz,Johannes Winkler,2024S,"3,00","2,0",Di. 07.05.24 12:00 - 13:30,100,81
381.001,Technologien der Polymerverarbeitung 2: Spritzgießen,VL,Präsenz,Georg Steinbichler,2024S,"2,50","2,0",Mi. 08.05.24 13:45 - 15:15,105,22
531.208,Wahrscheinlichkeitsrechnung,VO,Präsenz,Peter Kritzer,2024S,"4,00","4,0",Di. 30.04.24 13:45 - 15:15,100,76
233.KS2,Wirtschafts- und Berufspädagogik 2,KS,Präsenz,Georg Hans Neuweg,2024S,"4,00","2,0",Di. 30.04.24 17:15 - 18:45,200,59
367.144,Wirtschaftsgrundlagen der Informatik,VL,Präsenz,Werner Retschitzegger,2024S,"3,00","2,0",Mo. 06.05.24 08:30 - 11:45,200,180
367.145,Wirtschaftsgrundlagen für Informatiker,VO,Präsenz,Werner Retschitzegger,2024S,"3,00","2,0",Mo. 06.05.24 08:30 - 11:45,15,2
531.170,Zahlentheorie,VO,Präsenz,Friedrich Pillichshammer,2024S,"2,00","2,0",Do. 02.05.24 15:30 - 18:00,110,97
239.301,Ökonomie für das Unterrichtsfach GW,VU,Präsenz,René Andeßner,2024S,"8,00","4,0",Do. 02.05.24 10:15 - 11:45,200,51
